AURIX TC26x B-Step, 2.5MB FLASH, 2 cores, HSM: no, EMEM: yes, CPU speed: 200.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU0    1.6E    8       0       16      72      7
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
3,0,0,af000000,DFlash,VecPower,2048,30,266810.90,697.16,24730.00,224.12,2081.63, 47.49,35125.44,316.44,213039.90, 80.35
3,0,0,af000000,DFlash,VecPower,4096,30,533050.90,1050.93,49306.00,337.02,4129.63, 71.27,69941.47,477.77,426031.90,120.93
0,0,0,af000000,DFlash,VecSqrt,256,30,20308.53,432.29,3141.13,138.94,230.67, 21.20,259.67,  6.24,  0.00,  0.00
0,0,0,af000000,DFlash,VecSqrt,512,30,38855.46,587.58,5738.27,189.34,236.33, 28.89,517.33,  8.50,  0.00,  0.00
0,0,0,af000000,DFlash,VecSqrt,1024,30,75933.27,741.15,10925.90,237.81,247.07, 36.72,1032.40, 10.70,  0.00,  0.00
0,0,0,af000000,DFlash,VecSqrt,2048,30,149565.00,677.01,21135.36,218.37,242.07, 33.51,2055.07,  9.77,  0.00,  0.00
0,0,0,af000000,DFlash,VecSqrt,4096,30,348222.30,830.85,58000.03,266.27,7410.13, 40.70,4103.10, 12.08,  0.00,  0.00
1,0,0,af000000,DFlash,VecSqrt,256,30,20307.47,428.30,3141.20,139.19,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecSqrt,512,30,38855.54,587.77,5738.33,189.51,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecSqrt,1024,30,75942.99,753.48,10930.63,243.37,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecSqrt,2048,30,149543.10,659.43,21127.43,210.74,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecSqrt,4096,30,348221.50,830.14,57999.44,265.24,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSqrt,256,30,20307.93,430.04,3141.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSqrt,512,30,38855.40,587.41,5738.27,189.34,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSqrt,1024,30,75940.40,750.30,10929.30,241.55,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSqrt,2048,30,149599.30,700.37,21146.00,224.88,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSqrt,4096,30,348220.40,826.76,57999.44,265.24,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecSqrt,256,30,20307.46,428.30,3141.20,139.19,750.80, 29.18,8774.07,194.82,6704.30, 49.76
3,0,0,af000000,DFlash,VecSqrt,512,30,38855.40,587.41,5738.27,189.34,1398.63, 39.86,16635.30,268.48,13373.47, 67.48
3,0,0,af000000,DFlash,VecSqrt,1024,30,75931.86,740.00,10925.23,237.24,2693.43, 50.65,32348.33,337.83,26710.13, 85.39
3,0,0,af000000,DFlash,VecSqrt,2048,30,149601.10,703.89,21146.00,224.88,5249.47, 48.24,63553.80,322.36,53327.30, 81.03
