AURIX TC26x B-Step, 2.5MB FLASH, 2 cores, HSM: no, EMEM: yes, CPU speed: 200.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU1	1.6P	16	8	32	120	6
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
2,0,0,af000000,DFlash,VecGain,512,30,35212.03,600.28,5717.77,167.30,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecGain,1024,30,70292.13,841.36,11424.03,235.71,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecGain,2048,30,139930.20,830.10,22688.66,232.61,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecGain,4096,30,279124.60,778.51,45197.44,218.51,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecGain,256,30,17737.40,499.14,2883.13,138.94,271.80, 29.18,6401.93,362.96,14110.00, 78.57
3,0,0,af000000,DFlash,VecGain,512,30,35210.07,594.20,5717.70,167.10,531.70, 35.10,12592.67,431.22,28200.60, 94.80
3,0,0,af000000,DFlash,VecGain,1024,30,70290.66,838.69,11424.03,235.71,1059.30, 49.49,25072.90,609.07,56402.74,133.65
3,0,0,af000000,DFlash,VecGain,2048,30,139914.10,807.11,22684.67,226.83,2083.07, 48.06,49638.80,583.11,112722.60,129.59
3,0,0,af000000,DFlash,VecGain,4096,30,279165.80,807.10,45209.27,226.01,4130.57, 48.30,98780.46,580.30,225361.70,131.91
0,0,0,af000000,DFlash,VecRead,256,30,15531.00,  0.00,1569.00,  0.00,  6.00,  0.00,776.00,  0.00,  0.00,  0.00
0,0,0,af000000,DFlash,VecRead,512,30,31089.13,594.47,3160.77,167.30, 17.97, 35.90,1552.40, 25.20,  0.00,  0.00
