AURIX TC37x A-Step, 6MB FLASH, 3 cores, HSM: yes, EMEM: yes, CPU speed: 300.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU0    1.6P    32      16      64      240     7
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
2,0,0,af000000,DFlash,VecPower,512,30,80294.17,620.45,6246.67,185.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecPower,1024,30,160388.10,778.62,12455.03,231.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecPower,2048,30,320079.60,750.51,24727.53,222.19,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecPower,4096,30,639568.10,1003.38,49303.53,298.41,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecPower,256,30,40295.71,546.21,3156.57,163.70,275.20, 33.60,  0.00,  0.00,35611.30,100.58
3,0,0,af000000,DFlash,VecPower,512,30,80355.04,680.20,6264.90,203.26,538.67, 41.74,  0.00,  0.00,71220.14,125.63
3,0,0,af000000,DFlash,VecPower,1024,30,160406.20,785.93,12461.03,234.62,1061.70, 48.43,  0.00,  0.00,142423.00,146.50
3,0,0,af000000,DFlash,VecPower,2048,30,320089.20,765.08,24730.20,225.66,2081.87, 46.91,  0.00,  0.00,284749.30,144.52
3,0,0,af000000,DFlash,VecPower,4096,30,639561.80,997.77,49301.54,296.90,4129.20, 61.49,  0.00,  0.00,569419.20,188.67
0,0,0,af000000,DFlash,VecSqrt,256,30,17514.83,334.66,2610.17, 97.83,137.83, 47.57,390.93,  9.20,  0.00,  0.00
0,0,0,af000000,DFlash,VecSqrt,512,30,34856.14,463.43,5188.33,135.95,275.00, 65.88,776.57, 12.96,  0.00,  0.00
0,0,0,af000000,DFlash,VecSqrt,1024,30,69596.48,680.18,10362.90,203.26,556.57, 97.24,1549.90, 19.29,  0.00,  0.00
0,0,0,af000000,DFlash,VecSqrt,2048,30,138900.50,792.80,20654.37,233.84,1095.63,114.69,3090.77, 22.13,  0.00,  0.00
0,0,0,af000000,DFlash,VecSqrt,4096,30,277071.30,763.13,41114.20,222.98,2110.30,110.88,6160.67, 21.29,  0.00,  0.00
1,0,0,af000000,DFlash,VecSqrt,256,30,17512.96,326.32,2610.17, 97.83,  0.00,  0.00,  0.00,  0.00,387.43, 12.92
1,0,0,af000000,DFlash,VecSqrt,512,30,34854.13,457.45,5188.33,135.95,  0.00,  0.00,  0.00,  0.00,773.97, 18.45
1,0,0,af000000,DFlash,VecSqrt,1024,30,69595.71,678.88,10362.90,203.26,  0.00,  0.00,  0.00,  0.00,1549.30, 27.42
1,0,0,af000000,DFlash,VecSqrt,2048,30,138894.10,785.85,20652.37,231.83,  0.00,  0.00,  0.00,  0.00,3091.97, 31.06
1,0,0,af000000,DFlash,VecSqrt,4096,30,277068.60,758.21,41113.53,222.19,  0.00,  0.00,  0.00,  0.00,6161.47, 29.95
2,0,0,af000000,DFlash,VecSqrt,256,30,17514.03,334.30,2610.17, 97.83,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSqrt,512,30,34856.56,465.02,5188.40,136.20,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSqrt,1024,30,69596.20,682.41,10362.90,203.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSqrt,2048,30,138886.70,793.06,20651.04,232.86,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSqrt,4096,30,277064.20,752.84,41112.87,221.46,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
